"code","label","means_missing","description"
"AL","Alabama",FALSE,"Alabama"
"AK","Alaska",FALSE,"Alaska"
"AS","American Samoa",FALSE,"American Samoa"
"AZ","Arizona",FALSE,"Arizona"
"AR","Arkansas",FALSE,"Arkansas"
"CA","California",FALSE,"California"
"CO","Colorado",FALSE,"Colorado"
"CT","Connecticut",FALSE,"Connecticut"
"DE","Delaware",FALSE,"Delaware"
"DC","District of Columbia",FALSE,"District of Columbia"
"FM","Federated States of Micronesia",FALSE,"Federated States of Micronesia"
"FL","Florida",FALSE,"Florida"
"GA","Georgia",FALSE,"Georgia"
"GU","Guam",FALSE,"Guam"
"HI","Hawaii",FALSE,"Hawaii"
"ID","Idaho",FALSE,"Idaho"
"IL","Illinois",FALSE,"Illinois"
"IN","Indiana",FALSE,"Indiana"
"IA","Iowa",FALSE,"Iowa"
"KS","Kansas",FALSE,"Kansas"
"KY","Kentucky",FALSE,"Kentucky"
"LA","Louisiana",FALSE,"Louisiana"
"ME","Maine",FALSE,"Maine"
"MH","Marshall Islands",FALSE,"Marshall Islands"
"MD","Maryland",FALSE,"Maryland"
"MA","Massachusetts",FALSE,"Massachusetts"
"MI","Michigan",FALSE,"Michigan"
"MN","Minnesota",FALSE,"Minnesota"
"MS","Mississippi",FALSE,"Mississippi"
"MO","Missouri",FALSE,"Missouri"
"MT","Montana",FALSE,"Montana"
"NE","Nebraska",FALSE,"Nebraska"
"NV","Nevada",FALSE,"Nevada"
"NH","New Hampshire",FALSE,"New Hampshire"
"NJ","New Jersey",FALSE,"New Jersey"
"NM","New Mexico",FALSE,"New Mexico"
"NY","New York",FALSE,"New York"
"NC","North Carolina",FALSE,"North Carolina"
"ND","North Dakota",FALSE,"North Dakota"
"MP","Northern Mariana Islands",FALSE,"Northern Mariana Islands"
"OH","Ohio",FALSE,"Ohio"
"OK","Oklahoma",FALSE,"Oklahoma"
"OR","Oregon",FALSE,"Oregon"
"PW","Palau",FALSE,"Palau"
"PA","Pennsylvania",FALSE,"Pennsylvania"
"PR","Puerto Rico",FALSE,"Puerto Rico"
"RI","Rhode Island",FALSE,"Rhode Island"
"SC","South Carolina",FALSE,"South Carolina"
"SD","South Dakota",FALSE,"South Dakota"
"TN","Tennessee",FALSE,"Tennessee"
"TX","Texas",FALSE,"Texas"
"UT","Utah",FALSE,"Utah"
"VT","Vermont",FALSE,"Vermont"
"VI","Virgin Islands",FALSE,"Virgin Islands"
"VA","Virginia",FALSE,"Virginia"
"WA","Washington",FALSE,"Washington"
"WV","West Virginia",FALSE,"West Virginia"
"WI","Wisconsin",FALSE,"Wisconsin"
"WY","Wyoming",FALSE,"Wyoming"
"AB","Alberta",FALSE,"Alberta"
"BC","British Columbia",FALSE,"British Columbia"
"MB","Manitoba",FALSE,"Manitoba"
"NB","New Brunswick",FALSE,"New Brunswick"
"NL","Newfoundland and Labrador",FALSE,"Newfoundland and Labrador"
"NT","Northwest Territories",FALSE,"Northwest Territories"
"NS","Nova Scotia",FALSE,"Nova Scotia"
"NU","Nunavat Territory",FALSE,"Nunavat Territory"
"ON","Ontario",FALSE,"Ontario"
"PE","Prince Edward Island",FALSE,"Prince Edward Island"
"QC","Quebec",FALSE,"Quebec"
"SK","Saskatchewan",FALSE,"Saskatchewan"
"YT","Yukon Territory",FALSE,"Yukon Territory"
"N","North",FALSE,"North"
"E","East",FALSE,"East"
"S","South",FALSE,"South"
"W","West",FALSE,"West"
"NE","Northeast",FALSE,"Northeast"
"SE","Southeast",FALSE,"Southeast"
"NW","Northwest",FALSE,"Northwest"
"SW","Southwest",FALSE,"Southwest"
"AE","Armed Forces Europe, Middle East, Canada",FALSE,"Armed Forces Europe, the Middle East, and Canada"
"AP","Armed Forces Pacific",FALSE,"Armed Forces Pacific"
"AA","Armed Forces Americas",FALSE,"Armed Forces Americas (except Canada)"
